id,properties.amenity,properties.brand,properties.description,properties.opening_hours,properties.short_name,properties.socket:type2,properties.socket:type1_combo,properties.socket:chademo,properties.socket:tesla,properties.addr:city,properties.addr:country,properties.addr:postcode,properties.addr:state,properties.location
node/11142747612,charging_station,BP Pulse,,,,,,,,,,,,
node/11142747613,charging_station,,,,,,,,,,,,,
node/11142763864,charging_station,,,,,,,,,,,,,
node/11155180657,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11158866814,charging_station,,,,,,,,,,,,,
node/11167384460,charging_station,,,,,,,,,,,,,
node/11175994294,charging_station,,,,,,,1,,,,,,
node/11176002637,charging_station,,,,,,,1,,,,,,
node/11184921745,charging_station,,,,,,,2,,,,,,
node/11189565177,charging_station,,,,,,,,,,,,,
node/11189621827,charging_station,,,,,,,,,,,,,
node/11189656496,charging_station,,,,,,,,,,,,,
node/11217247140,charging_station,Charging the Regions,,,,,,1,,,,,,
node/11217250326,charging_station,Charging the Regions,,,,,,1,,,,,,
node/11217255913,charging_station,Charging the Regions,,,,,,1,,,,,,
node/11219920873,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11221448525,charging_station,,,,,,,,,,,,,
node/11221461253,charging_station,,,,,2,,,,,,,,
node/11221609471,charging_station,,,,,,,,,,,,,
node/11228046134,charging_station,,,,,,,1,,,,,,
node/11228085088,charging_station,,,,,,,1,,,,,,
node/11228098627,charging_station,,,,,,,,,,,,,
node/11234771568,charging_station,,,,,,,1,,,,,,
node/11242774690,charging_station,Jolt,,,,,,,,,,,,
node/11242854532,charging_station,,,,,,,,,,,,,
node/11254805479,charging_station,EVlink,,,,,,,,,,,,
node/11258008348,charging_station,,,,,,,,,,,,,
node/11263803078,charging_station,,,,,,,,,,,,,
node/11276547806,charging_station,,,,,,,1,,,,,,
node/11278409135,charging_station,,,,,,,,,,,,,
node/11280883851,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11289934645,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11290026319,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11330332493,charging_station,,,,,,,,,,,,,
node/11334781754,charging_station,,,,,,,1,,,,,,
node/11335132177,charging_station,,,,,,,,,,,,,
node/11335189892,charging_station,,,,,,,,,,,,,
node/11335199123,charging_station,,,,,,,,,,,,,
node/11340711533,charging_station,,,,,,,,,,,,,
node/11343836754,charging_station,,,,,,,,,,,,,
node/11345075655,charging_station,,,,,,,,,,,,,
node/11350711593,charging_station,,,,,,,1,,,,,,
node/11363461220,charging_station,,,,,,,1,,,,,,
node/11363471775,charging_station,,,,,,,,,,,,,
node/11363483511,charging_station,,,,,,,,,,,,,
node/11365114635,charging_station,,,,,,,1,,,,,,
node/11365136257,charging_station,,,,,,,,,,,,,
node/11365173050,charging_station,BP Pulse,,,,,,,,,,,,
node/11365214134,charging_station,,,,,,,2,,,,,,
node/11365333103,charging_station,,,,,,,1,,,,,,
node/11365343113,charging_station,,,,,,,,,,,,,
node/11365378588,charging_station,,,,,,,,,,,,,
node/11365383504,charging_station,,,,,,,,,,,,,
node/11365384558,charging_station,,,,,,,,,,,,,
node/11365392374,charging_station,Chargefox,,,,,,,,,,,,
node/11365395410,charging_station,,,,,,,,,,,,,
node/11365406878,charging_station,,,,,,,,,,,,,
node/11365413603,charging_station,,,,,,,,,,,,,
node/11365424991,charging_station,,,,,,,,,,,,,
node/11365424997,charging_station,,,,,,,,,,,,,
node/11365426315,charging_station,,,,,,,,,,,,,
node/11365433327,charging_station,,,,,,,,,,,,,
node/11365555254,charging_station,,,,,,,,,,,,,
node/11365605210,charging_station,,,,,,,,,,,,,
node/11365927573,charging_station,,,,,,,,,,,,,
node/11367720683,charging_station,,,,,,,1,,,,,,
node/11367761844,charging_station,,,,,,,1,,,,,,
node/11372241486,charging_station,,,,,,,,,,,,,
node/11375022640,charging_station,,,,,2,,,,,,,,
node/11376091854,charging_station,Charging the Regions,,,,,,1,,,,,,
node/11376098457,charging_station,Charging the Regions,,,,,,1,,,,,,
node/11377314807,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11384855150,charging_station,,,,,,,1,,,,,,
node/11386697708,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11386820692,charging_station,,,,,,,,,,,,,
node/11386821436,charging_station,,,,,,,,,,,,,
node/11395425005,charging_station,,,,,,,1,,,,,,
node/11395449317,charging_station,,,,,,,1,,,,,,
node/11395749542,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11404710581,charging_station,,,,,,,1,,,,,,
node/11406998570,charging_station,,,24/7,,,,,,,,4566,,
node/11413716984,charging_station,,,,,,,1,,,,,,
node/11413873598,charging_station,,,,,,,,,,,,,
node/11413941452,charging_station,,,,,,,1,,,,,,
node/11413950126,charging_station,,,,,6,,,,,,,,
node/11415799827,charging_station,,,,,,,1,,,,,,
node/11419885107,charging_station,,,,,,,1,,,,,,
node/11419886723,charging_station,,,,,,,,,,,,,
node/11422466181,charging_station,,,,,4,,,,,,,,
node/11425324344,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11425340896,charging_station,,,,,,,1,,,,,,
node/11427578131,charging_station,BP Pulse,,,,,,,,,,,,
node/11430520548,charging_station,,,,,,,1,,,,,,
node/11433418128,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11433579681,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11433584698,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11434374870,charging_station,,,,,,,1,,,,,,
node/11434397370,charging_station,,,,,,,2,,,,,,
node/11434440056,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11440214108,charging_station,,,,,,,1,,,,,,
node/11445377809,charging_station,,,,,,,,,,,,,
node/11447868870,charging_station,,,,,,,,,,,,,
node/11455171314,charging_station,Engie,,,,,,,,,,,,
node/11463047965,charging_station,,,,,,,,,,,,,
node/11465379143,charging_station,,,,,,,1,,,,,,
node/11494560491,charging_station,,,,,,,,,,,,,
node/11495572569,charging_station,,,,,,,,,,,,,
node/11504837499,charging_station,Charging the Regions,,,,,,1,,,,,,
node/11504841063,charging_station,Charging the Regions,,,,,,1,,,,,,
node/11506870062,charging_station,Charging the Regions,,,,,,1,,,,,,
node/11506874164,charging_station,,,,,,,1,,,,,,
node/11507767364,charging_station,,,,,4,,,,,,,,
node/11526398297,charging_station,,,,,,,1,,,,,,
node/11529283544,charging_station,,,,,1,,,,,,,,
node/11548535146,charging_station,,,24/7,,,,,,,,,,
node/11559043538,charging_station,,,,,,,1,,,,,,
node/11565614049,charging_station,,,,,,,,,,,,,
node/11566319008,charging_station,,,,,,,2,,,,,,
node/11572184459,charging_station,,,,,,,,,,,,,
node/11577859205,charging_station,,,,,,,1,,,,,,
node/11577888417,charging_station,,,,,,,1,,,,,,
node/11578300609,charging_station,Jetcharge,,,,1,,,,,,,,
node/11590215721,charging_station,,,,,,,1,,,,,,
node/11590237423,charging_station,,,,,,,1,,,,,,
node/11599375156,charging_station,,,,,,,,,,,,,
node/11648746507,charging_station,,,,,,,,,,,,,
node/11679137269,charging_station,,,,,,,1,,,,,,
node/11679262104,charging_station,,,,,,,,,,,,,
node/11689937303,charging_station,,,,,,,1,,,,,,
node/11695236309,charging_station,,,,,,,1,,,,,,
node/11702410958,charging_station,,,,,,,,,,,,,
node/11726440600,charging_station,,,,,,,,,,,,,
node/11738297527,charging_station,,,,,,,,,,,,,
node/11749050171,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11749053754,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11749067827,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11792059229,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11792059230,charging_station,WA EV Network,,,,,,,,,,,,
node/11800735919,charging_station,Tritium,,,,,,,,,,,,
node/11806155972,charging_station,EVlink,,,,,,,,,,,,
node/11808829441,charging_station,,,,,,,1,,,,,,
node/11815611441,charging_station,,,,,,,,,,,,,
node/11826593936,charging_station,,,,,,,,,,,,,
node/11826782983,charging_station,,,,,,,,,,,,,
node/11826783777,charging_station,,,,,,,,,,,,,
node/11840233273,charging_station,,,,,2,,,,,,,,
node/11840528797,charging_station,EVLink,,,,2,,,,,,,,
node/11840562088,charging_station,,,,,,,,,,,,,
node/11842613041,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11842761957,charging_station,,,,,3,,1,,,,,,
node/11842876526,charging_station,Engie,,,,,,,,,,,,
node/11845737187,charging_station,,,,,,,,,,,,,
node/11853840472,charging_station,,,,,,,,,,,,,
node/11885672552,charging_station,,Wycheproof,,,,,,,,,,,
node/11897759707,charging_station,,,,,,,,,,,,,
